threshold,routing_accuracy,local_to_web_count,fallback_to_local_count,error_cost
0.3,0.8405797101449275,0,11,33.0
0.35,0.8405797101449275,0,11,33.0
0.4,0.8405797101449275,0,11,33.0
0.45,0.8405797101449275,0,11,33.0
0.5,0.8405797101449275,0,11,33.0
0.55,0.8985507246376812,3,4,15.0
0.6,0.8985507246376812,5,2,11.0
0.65,0.8840579710144928,7,1,10.0
0.7,0.7971014492753623,14,0,14.0
0.75,0.15942028985507245,58,0,58.0
0.8,0.15942028985507245,58,0,58.0
0.5,0.8405797101449275,0,11,33.0
0.51,0.855072463768116,3,7,24.0
0.52,0.8985507246376812,3,4,15.0
0.53,0.8985507246376812,3,4,15.0
0.54,0.8985507246376812,3,4,15.0
0.55,0.8985507246376812,3,4,15.0
0.56,0.8985507246376812,3,4,15.0
0.57,0.8840579710144928,4,4,16.0
0.58,0.8840579710144928,4,4,16.0
0.59,0.8985507246376812,4,3,13.0
0.6,0.8985507246376812,5,2,11.0
0.61,0.8695652173913043,7,2,13.0
0.62,0.8695652173913043,7,2,13.0
0.63,0.8695652173913043,7,2,13.0
0.64,0.8695652173913043,7,2,13.0
0.65,0.8840579710144928,7,1,10.0
0.66,0.8695652173913043,8,1,11.0
0.67,0.8695652173913043,9,0,9.0
